25-04-05 01:09:00.111 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.journalApp.JournalApplication for test class com.example.journalApp.JournalAppApplicationTests 
25-04-05 01:09:02.534 [cluster-ClusterId{value='67f03556ee6da770afa0b9ec', description='Cluster0'}-srv-cluster0.sf4nz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.sf4nz.mongodb.net:27017 to client view of cluster 
25-04-05 01:09:02.578 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='Muskan', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@dada335, com.mongodb.Jep395RecordCodecProvider@716f94c1, com.mongodb.KotlinCodecProvider@53feeac9]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.sf4nz.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-eevlio-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null} 
25-04-05 01:09:02.593 [cluster-ClusterId{value='67f03556ee6da770afa0b9ec', description='Cluster0'}-srv-cluster0.sf4nz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.sf4nz.mongodb.net:27017 to client view of cluster 
25-04-05 01:09:02.608 [cluster-ClusterId{value='67f03556ee6da770afa0b9ec', description='Cluster0'}-srv-cluster0.sf4nz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.sf4nz.mongodb.net:27017 to client view of cluster 
25-04-05 01:09:03.167 [cluster-ClusterId{value='67f03556ee6da770afa0b9ec', description='Cluster0'}-cluster0-shard-00-01.sf4nz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.sf4nz.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=282847700, minRoundTripTimeNanos=0, setName='atlas-eevlio-shard-0', canonicalAddress=cluster0-shard-00-01.sf4nz.mongodb.net:27017, hosts=[cluster0-shard-00-01.sf4nz.mongodb.net:27017, cluster0-shard-00-00.sf4nz.mongodb.net:27017, cluster0-shard-00-02.sf4nz.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.sf4nz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000026f, setVersion=186, topologyVersion=TopologyVersion{processId=67ed6b067bb32800c58be4fb, counter=6}, lastWriteDate=Sat Apr 05 01:09:02 IST 2025, lastUpdateTimeNanos=10748798378328400} 
25-04-05 01:09:03.171 [cluster-ClusterId{value='67f03556ee6da770afa0b9ec', description='Cluster0'}-cluster0-shard-00-01.sf4nz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.sf4nz.mongodb.net:27017 with max election id 7fffffff000000000000026f and max set version 186 
25-04-05 01:09:03.758 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR 
25-04-05 01:09:03.949 [cluster-ClusterId{value='67f03556ee6da770afa0b9ec', description='Cluster0'}-cluster0-shard-00-02.sf4nz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.sf4nz.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=67742200, minRoundTripTimeNanos=0, setName='atlas-eevlio-shard-0', canonicalAddress=cluster0-shard-00-02.sf4nz.mongodb.net:27017, hosts=[cluster0-shard-00-01.sf4nz.mongodb.net:27017, cluster0-shard-00-00.sf4nz.mongodb.net:27017, cluster0-shard-00-02.sf4nz.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.sf4nz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=186, topologyVersion=TopologyVersion{processId=67ed6d8ed8328b8853087071, counter=3}, lastWriteDate=Sat Apr 05 01:09:03 IST 2025, lastUpdateTimeNanos=10748799164203200} 
25-04-05 01:09:04.446 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath. 
25-04-05 01:09:04.971 [cluster-ClusterId{value='67f03556ee6da770afa0b9ec', description='Cluster0'}-cluster0-shard-00-00.sf4nz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.sf4nz.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=89737400, minRoundTripTimeNanos=0, setName='atlas-eevlio-shard-0', canonicalAddress=cluster0-shard-00-00.sf4nz.mongodb.net:27017, hosts=[cluster0-shard-00-01.sf4nz.mongodb.net:27017, cluster0-shard-00-00.sf4nz.mongodb.net:27017, cluster0-shard-00-02.sf4nz.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.sf4nz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=186, topologyVersion=TopologyVersion{processId=67ed692eee3927cedd0ea67c, counter=4}, lastWriteDate=Sat Apr 05 01:09:04 IST 2025, lastUpdateTimeNanos=10748800186503300} 
25-04-05 01:09:05.253 [main] INFO  c.e.j.JournalAppApplicationTests - Started JournalAppApplicationTests in 4.96 seconds (process running for 6.551) 
25-04-05 01:09:07.364 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.journalApp.services.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
25-04-05 01:09:07.413 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.journalApp.JournalApplication for test class com.example.journalApp.services.UserServiceTest 
