25-04-03 01:41:19.521 [main] INFO  c.e.journalApp.JournalApplication - Starting JournalApplication using Java 23.0.2 with PID 27408 (C:\Users\amruc\Downloads\journalApp\journalApp\target\classes started by amruc in C:\Users\amruc\Downloads\journalApp\journalApp) 
25-04-03 01:41:22.875 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/23.0.2+7-58"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='Muskan', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@27e199ce, com.mongodb.Jep395RecordCodecProvider@1c3b6963, com.mongodb.KotlinCodecProvider@7364f68]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.sf4nz.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-eevlio-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null} 
25-04-03 01:41:22.908 [cluster-ClusterId{value='67ed99ea14b3391c16d5abc6', description='Cluster0'}-srv-cluster0.sf4nz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.sf4nz.mongodb.net:27017 to client view of cluster 
25-04-03 01:41:22.914 [cluster-ClusterId{value='67ed99ea14b3391c16d5abc6', description='Cluster0'}-srv-cluster0.sf4nz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.sf4nz.mongodb.net:27017 to client view of cluster 
25-04-03 01:41:23.467 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29992 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-02.sf4nz.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-01.sf4nz.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.sf4nz.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
25-04-03 01:41:24.242 [cluster-ClusterId{value='67ed99ea14b3391c16d5abc6', description='Cluster0'}-cluster0-shard-00-00.sf4nz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.sf4nz.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=674647700, minRoundTripTimeNanos=0, setName='atlas-eevlio-shard-0', canonicalAddress=cluster0-shard-00-00.sf4nz.mongodb.net:27017, hosts=[cluster0-shard-00-01.sf4nz.mongodb.net:27017, cluster0-shard-00-00.sf4nz.mongodb.net:27017, cluster0-shard-00-02.sf4nz.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.sf4nz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=186, topologyVersion=TopologyVersion{processId=67ed692eee3927cedd0ea67c, counter=4}, lastWriteDate=Thu Apr 03 01:41:23 IST 2025, lastUpdateTimeNanos=10577937563976600} 
25-04-03 01:41:24.243 [cluster-ClusterId{value='67ed99ea14b3391c16d5abc6', description='Cluster0'}-cluster0-shard-00-02.sf4nz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.sf4nz.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=674796400, minRoundTripTimeNanos=0, setName='atlas-eevlio-shard-0', canonicalAddress=cluster0-shard-00-02.sf4nz.mongodb.net:27017, hosts=[cluster0-shard-00-01.sf4nz.mongodb.net:27017, cluster0-shard-00-00.sf4nz.mongodb.net:27017, cluster0-shard-00-02.sf4nz.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.sf4nz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=186, topologyVersion=TopologyVersion{processId=67ed6d8ed8328b8853087071, counter=3}, lastWriteDate=Thu Apr 03 01:41:23 IST 2025, lastUpdateTimeNanos=10577937564122100} 
25-04-03 01:41:24.423 [cluster-ClusterId{value='67ed99ea14b3391c16d5abc6', description='Cluster0'}-cluster0-shard-00-01.sf4nz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.sf4nz.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=69322600, minRoundTripTimeNanos=0, setName='atlas-eevlio-shard-0', canonicalAddress=cluster0-shard-00-01.sf4nz.mongodb.net:27017, hosts=[cluster0-shard-00-01.sf4nz.mongodb.net:27017, cluster0-shard-00-00.sf4nz.mongodb.net:27017, cluster0-shard-00-02.sf4nz.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.sf4nz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000026f, setVersion=186, topologyVersion=TopologyVersion{processId=67ed6b067bb32800c58be4fb, counter=6}, lastWriteDate=Thu Apr 03 01:41:24 IST 2025, lastUpdateTimeNanos=10577937962913100} 
25-04-03 01:41:24.425 [cluster-ClusterId{value='67ed99ea14b3391c16d5abc6', description='Cluster0'}-cluster0-shard-00-01.sf4nz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.sf4nz.mongodb.net:27017 with max election id 7fffffff000000000000026f and max set version 186 
25-04-03 01:41:25.334 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR 
25-04-03 01:41:26.064 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath. 
25-04-03 01:41:27.084 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
25-04-03 01:41:27.100 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal' 
25-04-03 01:41:27.113 [main] INFO  c.e.journalApp.JournalApplication - Started JournalApplication in 8.599 seconds (process running for 9.664) 
